item	ipip_id	JOYFULNESS (MPQ Wellbeing [WB]) 	POWER-SEEKING (MPQ Social Potency [SP]) 	ACHIEVEMENT-SEEKING (MPQ Achievement [AC]) 	FRIENDLINESS (MPQ Social Closeness [SC]) 	EMOTIONAL INSTABILITY (MPQ Stress Reaction [SR]) 	BELLIGERENCE (MPQ Aggression [AG]) 	DISTRUST (MPQ Alienation [AL]) 	PLANFULNESS (MPQ Control [CO]) 	RISK-AVOIDANCE (MPQ Harmavoidance [HA]) 	CONSERVATISM (MPQ Traditionalism [TR]) 	IMAGINATION (MPQ Absorption [AB]) 	UNLIKELY VIRTUES (MPQ Unlikely Virtues [UV]) 
Have a lot of fun.	H1094	1	0	0	0	0	0	0	0	0	0	0	0
Love life.	H33	1	0	0	0	0	0	0	0	0	0	0	0
Radiate joy.	H32, X63	1	0	0	0	0	0	0	0	0	0	0	0
Feel lucky most of the time.	H2020	1	0	0	0	0	0	0	0	0	0	0	0
Just know that I will be a success.	P379	1	0	0	0	0	0	0	0	0	0	0	0
Often feel blue.	X74	-1	0	0	0	0	0	0	0	0	0	0	0
Am often in a bad mood.	X84	-1	0	0	0	0	0	0	0	0	0	0	0
Feel that my life lacks direction.	X205	-1	0	0	0	0	0	0	0	0	0	0	0
Have a dark outlook on the future.	H639	-1	0	0	0	0	0	0	0	0	0	0	0
Have a low opinion of myself.	H646, X152	-1	0	0	0	0	0	0	0	0	0	0	0
Have a natural talent for influencing people.	P432	0	1	0	0	0	0	0	0	0	0	0	0
Take charge.	H334, X27	0	1	0	0	0	0	0	0	0	0	0	0
See myself as a good leader.	P439	0	1	0	0	0	0	0	0	0	0	0	0
Can talk others into doing things.	H1137	0	1	0	0	0	0	0	0	0	0	0	0
Am good at making impromptu speeches.	P364	0	1	0	0	0	0	0	0	0	0	0	0
Don't like to draw attention to myself.	X68	0	-1	0	0	0	0	0	0	0	0	0	0
Lack the talent for influencing people.	P346	0	-1	0	0	0	0	0	0	0	0	0	0
Keep in the background.	H154, X34	0	-1	0	0	0	0	0	0	0	0	0	0
Find it difficult to manipulate others.	P461	0	-1	0	0	0	0	0	0	0	0	0	0
Have little to say.	H1039	0	-1	0	0	0	0	0	0	0	0	0	0
Work hard.	H1206, X44	0	0	1	0	0	0	0	0	0	0	0	0
Do more than what's expected of me.	H2014	0	0	1	0	0	0	0	0	0	0	0	0
Continue until everything is perfect.	H286	0	0	1	0	0	0	0	0	0	0	0	0
Excel in what I do.	H1174, X8	0	0	1	0	0	0	0	0	0	0	0	0
Work too much.	P484	0	0	1	0	0	0	0	0	0	0	0	0
Plunge into tasks with all my heart.	H69	0	0	1	0	0	0	0	0	0	0	0	0
Do just enough work to get by.	X115	0	0	-1	0	0	0	0	0	0	0	0	0
Am not highly motivated to succeed.	X110	0	0	-1	0	0	0	0	0	0	0	0	0
Do too little work.	P385	0	0	-1	0	0	0	0	0	0	0	0	0
Have a slow pace to my life.	P477	0	0	-1	0	0	0	0	0	0	0	0	0
Make friends easily.	H29	0	0	0	1	0	0	0	0	0	0	0	0
Love to chat.	H1095	0	0	0	1	0	0	0	0	0	0	0	0
Enjoy being part of a group.	H2016, V58	0	0	0	1	0	0	0	0	0	0	0	0
Warm up quickly to others.	H52, X1	0	0	0	1	0	0	0	0	0	0	0	0
Am open about my feelings.	X148	0	0	0	1	0	0	0	0	0	0	0	0
Want to be left alone.	H660	0	0	0	-1	0	0	0	0	0	0	0	0
Avoid contacts with others.	H648	0	0	0	-1	0	0	0	0	0	0	0	0
Am hard to get to know.	H596, X9	0	0	0	-1	0	0	0	0	0	0	0	0
Keep others at a distance.	H704	0	0	0	-1	0	0	0	0	0	0	0	0
Avoid company.	H598	0	0	0	-1	0	0	0	0	0	0	0	0
Have frequent mood swings.	E92	0	0	0	0	1	0	0	0	0	0	0	0
Get stressed out easily.	X107	0	0	0	0	1	0	0	0	0	0	0	0
Worry about things.	H1157, X5	0	0	0	0	1	0	0	0	0	0	0	0
Panic easily.	H948, X64	0	0	0	0	1	0	0	0	0	0	0	0
Am filled with doubts about things.	H683	0	0	0	0	1	0	0	0	0	0	0	0
Seldom feel blue.	X156	0	0	0	0	-1	0	0	0	0	0	0	0
Am relaxed most of the time.	E141	0	0	0	0	-1	0	0	0	0	0	0	0
Am not easily bothered by things.	X138	0	0	0	0	-1	0	0	0	0	0	0	0
Feel comfortable with myself.	X129	0	0	0	0	-1	0	0	0	0	0	0	0
Don't worry about things that have already happened.	E150	0	0	0	0	-1	0	0	0	0	0	0	0
Get back at others.	H699	0	0	0	0	0	1	0	0	0	0	0	0
Hold a grudge.	X217	0	0	0	0	0	1	0	0	0	0	0	0
Do things out of revenge.	H710	0	0	0	0	0	1	0	0	0	0	0	0
Cheat to get ahead.	X198	0	0	0	0	0	1	0	0	0	0	0	0
Have a sharp tongue.	H917	0	0	0	0	0	1	0	0	0	0	0	0
Would never take things that aren't mine.	P367	0	0	0	0	0	-1	0	0	0	0	0	0
Seldom get mad.	X231	0	0	0	0	0	-1	0	0	0	0	0	0
Try to forgive and forget.	E126	0	0	0	0	0	-1	0	0	0	0	0	0
Rarely get irritated.	X265	0	0	0	0	0	-1	0	0	0	0	0	0
Rarely complain.	E120	0	0	0	0	0	-1	0	0	0	0	0	0
Feel attacked by others.	H914	0	0	0	0	0	0	1	0	0	0	0	0
Feel short-changed in life.	H617	0	0	0	0	0	0	1	0	0	0	0	0
Suspect hidden motives in others.	H604	0	0	0	0	0	0	1	0	0	0	0	0
Distrust people.	H1195, X12	0	0	0	0	0	0	1	0	0	0	0	0
Feel that people have a hard time understanding me.	E159	0	0	0	0	0	0	1	0	0	0	0	0
Dislike myself.	X15	0	0	0	0	0	0	1	0	0	0	0	0
Am wary of others.	H1001	0	0	0	0	0	0	1	0	0	0	0	0
Act comfortably with others.	H41	0	0	0	0	0	0	-1	0	0	0	0	0
Trust what people say.	E157	0	0	0	0	0	0	-1	0	0	0	0	0
Trust others.	H113, X6	0	0	0	0	0	0	-1	0	0	0	0	0
Like to plan ahead.	X171	0	0	0	0	0	0	0	1	0	0	0	0
Do things by the book.	H250	0	0	0	0	0	0	0	1	0	0	0	0
Am exacting in my work.	X163	0	0	0	0	0	0	0	1	0	0	0	0
Pay attention to details.	H1362, X249	0	0	0	0	0	0	0	1	0	0	0	0
Make plans and stick to them.	X263	0	0	0	0	0	0	0	1	0	0	0	0
Jump into things without thinking.	E46	0	0	0	0	0	0	0	-1	0	0	0	0
Like to act on a whim.	E122	0	0	0	0	0	0	0	-1	0	0	0	0
Often make last-minute plans.	E66	0	0	0	0	0	0	0	-1	0	0	0	0
Make rash decisions.	H853	0	0	0	0	0	0	0	-1	0	0	0	0
Make a mess of things.	H1467	0	0	0	0	0	0	0	-1	0	0	0	0
Would never go hang gliding or bungee jumping.		0	0	0	0	0	0	0	0	1	0	0	0
Would never make a high-risk investment.	E71	0	0	0	0	0	0	0	0	1	0	0	0
Avoid dangerous situations.	H317	0	0	0	0	0	0	0	0	1	0	0	0
Seek danger.	H894	0	0	0	0	0	0	0	0	-1	0	0	0
Am willing to try anything once.	X3	0	0	0	0	0	0	0	0	-1	0	0	0
Do dangerous things.	H876	0	0	0	0	0	0	0	0	-1	0	0	0
Enjoy being reckless.	E35	0	0	0	0	0	0	0	0	-1	0	0	0
Seek adventure.	H446	0	0	0	0	0	0	0	0	-1	0	0	0
Take risks.	H864	0	0	0	0	0	0	0	0	-1	0	0	0
Do crazy things.	H870	0	0	0	0	0	0	0	0	-1	0	0	0
Tend to vote for conservative political candidates.	X126	0	0	0	0	0	0	0	0	0	1	0	0
Believe in one true religion.	X35	0	0	0	0	0	0	0	0	0	1	0	0
Believe laws should be strictly enforced.		0	0	0	0	0	0	0	0	0	1	0	0
Believe that we should be tough on crime.	X157	0	0	0	0	0	0	0	0	0	1	0	0
Like to stand during the national anthem.	X254	0	0	0	0	0	0	0	0	0	1	0	0
Tend to vote for liberal political candidates.	X218	0	0	0	0	0	0	0	0	0	-1	0	0
Don't consider myself religious.	P488	0	0	0	0	0	0	0	0	0	-1	0	0
Believe that criminals should receive help rather than punishment.	X219	0	0	0	0	0	0	0	0	0	-1	0	0
Believe in the importance of art.	X123	0	0	0	0	0	0	0	0	0	-1	0	0
Believe that there is no absolute right and wrong.	X184	0	0	0	0	0	0	0	0	0	-1	0	0
See beauty in things that others might not notice.	E105	0	0	0	0	0	0	0	0	0	0	1	0
Enjoy wild flights of fantasy.	X238	0	0	0	0	0	0	0	0	0	0	1	0
Like to get lost in thought.	E163	0	0	0	0	0	0	0	0	0	0	1	0
Love to reflect on things.	H1210	0	0	0	0	0	0	0	0	0	0	1	0
Have a vivid imagination.	X14	0	0	0	0	0	0	0	0	0	0	1	0
Love to daydream.	X71	0	0	0	0	0	0	0	0	0	0	1	0
Do not like poetry.	X45	0	0	0	0	0	0	0	0	0	0	-1	0
Do not like art.	X86	0	0	0	0	0	0	0	0	0	0	-1	0
Seldom get lost in thought.	X175	0	0	0	0	0	0	0	0	0	0	-1	0
Rarely look for a deeper meaning in things.	E77	0	0	0	0	0	0	0	0	0	0	-1	0
Always admit it when I make a mistake.	P454	0	0	0	0	0	0	0	0	0	0	0	1
Never give up hope.	X102	0	0	0	0	0	0	0	0	0	0	0	1
Know that anyone who tries can get a job.	X182	0	0	0	0	0	0	0	0	0	0	0	1
Always know why I do things.	P433	0	0	0	0	0	0	0	0	0	0	0	1
Never give up.	H556	0	0	0	0	0	0	0	0	0	0	0	1
Know immediately what to do.	H403	0	0	0	0	0	0	0	0	0	0	0	1
Believe there is never an excuse for lying.		0	0	0	0	0	0	0	0	0	0	0	1
Always know what I am doing.	P427	0	0	0	0	0	0	0	0	0	0	0	1
Am always ready to start afresh.	H440	0	0	0	0	0	0	0	0	0	0	0	1
Have never engaged in gossip.	P413	0	0	0	0	0	0	0	0	0	0	0	1
Will do anything for others.	H198	0	0	0	0	0	0	0	0	0	0	0	1
Am always prepared.	X87	0	0	0	0	0	0	0	0	0	0	0	1
Don't always practice what I preach.	P481	0	0	0	0	0	0	0	0	0	0	0	-1
Have some bad habits.	P478	0	0	0	0	0	0	0	0	0	0	0	-1
Have sometimes had to tell a lie.	P356	0	0	0	0	0	0	0	0	0	0	0	-1
Am not always honest with myself.	P490	0	0	0	0	0	0	0	0	0	0	0	-1
Am not always what I appear to be.	P447	0	0	0	0	0	0	0	0	0	0	0	-1
